_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,stationID,spaceID,timezone,userInputs
5c3fda9df9af8b0d99c6fd60,2019-01-01 03:45:49+00:00,2019-01-01 17:57:23+00:00,2019-01-01 10:40:45+00:00,43.114,0002,2-39-138-29,CA-304,America/Los_Angeles,"[{'userID': 489, 'milesRequested': 210, 'WhPerMile': 475, 'minutesAvailable': 629, 'modifiedAt': 'Tue, 01 Jan 2019 03:47:45 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 01 Jan 2019 14:14:49 GMT', 'kWhRequested': 99.75}, {'userID': 489, 'milesRequested': 210, 'WhPerMile': 475, 'minutesAvailable': 641, 'modifiedAt': 'Tue, 01 Jan 2019 03:50:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 01 Jan 2019 14:26:49 GMT', 'kWhRequested': 99.75}]"
5c3fda9df9af8b0d99c6fd61,2019-01-01 05:28:34+00:00,2019-01-01 06:03:12+00:00,2019-01-01 06:03:06+00:00,3.25,0002,2-39-130-31,CA-306,America/Los_Angeles,"[{'userID': 1616, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 60, 'modifiedAt': 'Tue, 01 Jan 2019 05:30:01 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 01 Jan 2019 06:28:34 GMT', 'kWhRequested': 8.0}]"
5c412c1df9af8b12cb56c27c,2019-01-01 17:41:45+00:00,2019-01-01 18:39:21+00:00,2019-01-01 18:40:21+00:00,0.9,0002,2-39-138-566,CA-512,America/Los_Angeles,
5c412c1df9af8b12cb56c27d,2019-01-01 18:09:17+00:00,2019-01-02 02:39:32+00:00,2019-01-01 20:16:10+00:00,12.534,0002,2-39-79-379,CA-327,America/Los_Angeles,"[{'userID': 558, 'milesRequested': 80, 'WhPerMile': 222, 'minutesAvailable': 514, 'modifiedAt': 'Tue, 01 Jan 2019 18:09:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 02:43:17 GMT', 'kWhRequested': 17.76}]"
5c412c1df9af8b12cb56c27e,2019-01-01 18:39:25+00:00,2019-01-01 19:18:49+00:00,2019-01-01 19:19:47+00:00,0.883,0002,2-39-138-566,CA-512,America/Los_Angeles,
5c412c1df9af8b12cb56c27f,2019-01-01 19:18:53+00:00,2019-01-01 20:14:07+00:00,2019-01-01 19:59:08+00:00,0.879,0002,2-39-138-566,CA-512,America/Los_Angeles,
5c412c1df9af8b12cb56c280,2019-01-01 21:05:57+00:00,2019-01-02 02:03:02+00:00,2019-01-02 01:59:27+00:00,16.136,0002,2-39-79-378,CA-326,America/Los_Angeles,"[{'userID': 1135, 'milesRequested': 50, 'WhPerMile': 400, 'minutesAvailable': 282, 'modifiedAt': 'Tue, 01 Jan 2019 21:06:08 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 01:47:57 GMT', 'kWhRequested': 20.0}]"
5c412c1df9af8b12cb56c281,2019-01-01 21:08:49+00:00,2019-01-01 22:52:39+00:00,2019-01-01 22:17:15+00:00,2.917,0002,2-39-139-28,CA-303,America/Los_Angeles,"[{'userID': 838, 'milesRequested': 60, 'WhPerMile': 433, 'minutesAvailable': 277, 'modifiedAt': 'Tue, 01 Jan 2019 21:08:55 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 01:45:49 GMT', 'kWhRequested': 25.98}]"
5c412c1df9af8b12cb56c282,2019-01-01 21:10:03+00:00,2019-01-02 02:03:53+00:00,2019-01-02 01:18:33+00:00,1.28,0002,2-39-79-377,CA-325,America/Los_Angeles,
5c412c1df9af8b12cb56c283,2019-01-01 22:23:40+00:00,2019-01-02 00:54:51+00:00,2019-01-02 00:30:48+00:00,13.273,0002,2-39-125-21,CA-311,America/Los_Angeles,"[{'userID': 754, 'milesRequested': 50, 'WhPerMile': 300, 'minutesAvailable': 170, 'modifiedAt': 'Tue, 01 Jan 2019 22:23:58 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 01:13:40 GMT', 'kWhRequested': 15.0}]"
