hour,session_count,total_kwh,hour_of_day,day_of_week,month,is_weekend
2019-01-01 03:00:00+00:00,1,43.114,3,1,1,0
2019-01-01 04:00:00+00:00,0,0.0,4,1,1,0
2019-01-01 05:00:00+00:00,1,3.25,5,1,1,0
2019-01-01 06:00:00+00:00,0,0.0,6,1,1,0
2019-01-01 07:00:00+00:00,0,0.0,7,1,1,0
2019-01-01 08:00:00+00:00,0,0.0,8,1,1,0
2019-01-01 09:00:00+00:00,0,0.0,9,1,1,0
2019-01-01 10:00:00+00:00,0,0.0,10,1,1,0
2019-01-01 11:00:00+00:00,0,0.0,11,1,1,0
2019-01-01 12:00:00+00:00,0,0.0,12,1,1,0
2019-01-01 13:00:00+00:00,0,0.0,13,1,1,0
2019-01-01 14:00:00+00:00,0,0.0,14,1,1,0
2019-01-01 15:00:00+00:00,0,0.0,15,1,1,0
2019-01-01 16:00:00+00:00,0,0.0,16,1,1,0
2019-01-01 17:00:00+00:00,1,0.9,17,1,1,0
2019-01-01 18:00:00+00:00,2,13.417000000000002,18,1,1,0
2019-01-01 19:00:00+00:00,1,0.879,19,1,1,0
2019-01-01 20:00:00+00:00,0,0.0,20,1,1,0
2019-01-01 21:00:00+00:00,3,20.333,21,1,1,0
2019-01-01 22:00:00+00:00,1,13.273,22,1,1,0
2019-01-01 23:00:00+00:00,0,0.0,23,1,1,0
2019-01-02 00:00:00+00:00,0,0.0,0,2,1,0
2019-01-02 01:00:00+00:00,0,0.0,1,2,1,0
2019-01-02 02:00:00+00:00,0,0.0,2,2,1,0
2019-01-02 03:00:00+00:00,0,0.0,3,2,1,0
2019-01-02 04:00:00+00:00,0,0.0,4,2,1,0
2019-01-02 05:00:00+00:00,0,0.0,5,2,1,0
2019-01-02 06:00:00+00:00,0,0.0,6,2,1,0
2019-01-02 07:00:00+00:00,0,0.0,7,2,1,0
2019-01-02 08:00:00+00:00,0,0.0,8,2,1,0
2019-01-02 09:00:00+00:00,0,0.0,9,2,1,0
2019-01-02 10:00:00+00:00,0,0.0,10,2,1,0
2019-01-02 11:00:00+00:00,0,0.0,11,2,1,0
2019-01-02 12:00:00+00:00,0,0.0,12,2,1,0
